Dim1,Dim2,Class
24.677177,54.11956,5.0
-47.732635,3.9160838,1.0
9.641729,32.13202,3.0
15.295928,37.66221,1.0
8.681455,-29.749607,1.0
19.444025,15.975746,1.0
-7.8042536,23.288456,5.0
-70.68773,19.013557,1.0
-6.725073,-72.43926,4.0
-1.3576279,-6.693205,
-42.38994,-21.507553,4.0
-10.0157,47.266464,1.0
-45.803898,24.584883,1.0
-0.2575389,-9.417066,4.0
-25.836208,44.24494,1.0
11.542082,-4.486601,4.0
35.22468,-57.49878,4.0
46.405987,-19.482779,3.0
-72.58457,18.965935,4.0
8.096793,25.088366,4.0
-76.68263,31.03816,5.0
-10.846546,-8.429121,4.0
-5.747063,48.170498,3.0
-49.71955,49.49682,1.0
-47.09344,23.747967,1.0
-47.43298,19.019005,1.0
-60.682915,28.954535,3.0
-62.562096,25.693172,1.0
66.96711,17.117659,4.0
68.424324,-61.825523,
15.082106,-1.6417223,4.0
-30.523573,55.714344,1.0
-39.70092,13.383876,3.0
-36.580162,-31.061384,3.0
5.7775626,13.450396,1.0
-49.373966,22.89688,4.0
8.4314995,-84.73515,1.0
11.230712,24.232517,1.0
-57.14308,-2.8733044,3.0
57.40969,40.3726,4.0
12.672123,2.24718,1.0
20.543795,34.96529,1.0
25.520487,53.80027,1.0
15.368484,20.26952,1.0
12.548043,19.158909,1.0
34.691185,-59.501373,4.0
2.4133809,-57.682705,3.0
12.212699,21.529293,1.0
12.854362,38.133205,1.0
-16.802046,34.60206,1.0
-52.66221,48.00617,3.0
19.17194,51.093365,1.0
12.217956,-3.9420063,4.0
-10.665721,49.21089,1.0
-56.255054,14.168825,1.0
-37.388382,1.0415722,1.0
9.230338,32.790203,3.0
17.132843,-3.6684208,1.0
53.649704,-35.29833,3.0
12.65389,38.44112,1.0
-7.757925,15.101465,4.0
-47.41857,23.624605,5.0
10.850341,29.75069,4.0
-48.99969,25.876823,1.0
-79.00795,29.307333,4.0
-12.0709305,-4.035121,1.0
-41.84023,0.493152,4.0
15.853556,53.861137,1.0
10.327347,1.8140951,4.0
52.829185,33.635662,1.0
75.40786,-20.990995,4.0
-37.947273,-66.540764,1.0
-3.799599,59.63138,3.0
-10.197761,47.123356,3.0
20.95811,39.17858,1.0
65.87736,19.444883,3.0
25.605915,19.459671,1.0
12.569824,55.87126,1.0
14.438528,44.972107,1.0
75.735344,-21.741785,4.0
